文件名,大小(MB),修改日期,类别数量,类别信息
Traffic_Sign_Recognition.pt,5.59,2025-09-03 20:14:25,264,"{0: '0', 1: '1', 2: '100', 3: '101', 4: '102', 5: '103', 6: '105', 7: '106', 8: '107', 9: '108', 10: '109', 11: '110', 12: '111', 13: '112', 14: '113', 15: '115', 16: '116', 17: '117', 18: '12', 19: '120', 20: '121', 21: '122', 22: '123', 23: '124', 24: '125', 25: '127', 26: '128', 27: '129', 28: '131', 29: '132', 30: '133', 31: '136', 32: '137', 33: '138', 34: '139', 35: '140', 36: '141', 37: '142', 38: '143', 39: '144', 40: '145', 41: '146', 42: '147', 43: '148', 44: '149', 45: '15', 46: '150', 47: '153', 48: '154', 49: '155', 50: '156', 51: '158', 52: '159', 53: '16', 54: '161', 55: '163', 56: '164', 57: '166', 58: '167', 59: '168', 60: '169', 61: '17', 62: '170', 63: '171', 64: '172', 65: '173', 66: '174', 67: '175', 68: '177', 69: '178', 70: '179', 71: '18', 72: '180', 73: '181', 74: '19', 75: '2', 76: '20', 77: '21', 78: '22', 79: '23', 80: '24', 81: '27', 82: '28', 83: '29', 84: '3', 85: '31', 86: '32', 87: '33', 88: '34', 89: '35', 90: '36', 91: '39', 92: '4', 93: '40', 94: '41', 95: '42', 96: '43', 97: '45', 98: '46', 99: '47', 100: '48', 101: '49', 102: '5', 103: '50', 104: '50 meters between vehicles', 105: '51', 106: '52', 107: '53', 108: '54', 109: '55', 110: '56', 111: '57', 112: '59', 113: '60', 114: '62', 115: '63', 116: '64', 117: '65', 118: '66', 119: '67', 120: '68', 121: '69', 122: '70', 123: '71', 124: '73', 125: '74', 126: '76', 127: '78', 128: '79', 129: '8', 130: '81', 131: '82', 132: '83', 133: '84', 134: '85', 135: '86', 136: '87', 137: '88', 138: '89', 139: '90', 140: '91', 141: '93', 142: '94', 143: '95', 144: '97', 145: '98', 146: '99', 147: 'Advance direction sign exit ahead from other road than motorway or expressway', 148: 'Axle weight limit-2ton', 149: 'Bus stop', 150: 'Cattle', 151: 'Crossroad intersection', 152: 'Crossroads', 153: 'Cycle track', 154: 'Cyclist and mopeds rides on carrigeway', 155: 'Cyclists', 156: 'Dangerous shoulder', 157: 'Dip', 158: 'Direction sign exit sign', 159: 'Direction to be followed', 160: 'End of all restrictions', 161: 'End of lane reserved for public transport', 162: 'Falling rocks', 163: 'Filling station', 164: 'First aid post', 165: 'Give way (Yield)', 166: 'Give way -Yield-', 167: 'Guarded level crossing ahead', 168: 'Height limit-3.5m', 169: 'Horn prohibited', 170: 'Hotel', 171: 'Keep left', 172: 'Left curve', 173: 'Level crossing countdown marker', 174: 'Loose gravel', 175: 'Main highways', 176: 'Marking for sharp bends', 177: 'Motorway', 178: 'Narrow bridge', 179: 'Narrow road', 180: 'National border', 181: 'No Left turn', 182: 'No Right turn', 183: 'No entry', 184: 'No entry for Trucks', 185: 'No entry for bicycles', 186: 'No entry for bullock carts', 187: 'No entry for hand carts', 188: 'No entry for motor vehicles', 189: 'No entry for pedestrians', 190: 'No parking', 191: 'No passing', 192: 'No snowmobiles', 193: 'No stopping', 194: 'No vehicles exceeding 12 tonnes', 195: 'No vehicles exceeding length shown', 196: 'No vehicles in both directions', 197: 'No vehicles or combination of vehicles exceeding weight shown', 198: 'Oblique side road junction', 199: 'One-way traffic', 200: 'Parking', 201: 'Parking allowed for 15min', 202: 'Passing without stopping prohibited', 203: 'Pedestrian crossing', 204: 'Priority over oncoming vehicles', 205: 'Refreshments', 206: 'Restaurant', 207: 'Restriction zone', 208: 'Right curve', 209: 'Road hump', 210: 'Road number sign', 211: 'Roadworks', 212: 'Roundabout', 213: 'School', 214: 'Side road junction', 215: 'Slippery road', 216: 'Speed refulcation bump', 217: 'Staggered side road junction', 218: 'Steep ascent', 219: 'Steep descent', 220: 'Steep downhill', 221: 'Steep uphill', 222: 'Stop', 223: 'Stop at customs', 224: 'Straight ahead', 225: 'Symbol plate for specified vehicle or road user category', 226: 'T-junction', 227: 'Telephone', 228: 'Traffic signals', 229: 'Turn Right', 230: 'Turn left', 231: 'Turn left ahead', 232: 'Turn left or straight ahead', 233: 'Turn right ahead', 234: 'Uneven road', 235: 'Unguarded level crossing ahead', 236: 'Unprotected quay', 237: 'Weight limit-5ton', 238: 'Y-junction', 239: 'adjoining way', 240: 'axle weight limit 30tonnes', 241: 'end of the speed limit', 242: 'exit', 243: 'falling rocks (from) left', 244: 'falling rocks -from- left', 245: 'length limit-10m', 246: 'lowspeed zone', 247: 'no entry for bicycles and humans', 248: 'no motorcycles', 249: 'no turning left', 250: 'no u turn', 251: 'snowmobiles', 252: 'speed limit-100', 253: 'speed limit-110', 254: 'speed limit-30', 255: 'speed limit-50', 256: 'speed limit-60', 257: 'speed limit-70', 258: 'speed limit-80', 259: 'speed limit-90', 260: 'speed-limit-120', 261: 'tunnel in 2 km', 262: 'two way traffic', 263: 'warning wild animal'}"
Trash_best.pt,18.3,2025-04-18 03:18:30,18,"{0: 'Aluminium foil', 1: 'Bottle cap', 2: 'Bottle', 3: 'Broken glass', 4: 'Can', 5: 'Carton', 6: 'Cigarette', 7: 'Cup', 8: 'Lid', 9: 'Other litter', 10: 'Other plastic', 11: 'Paper', 12: 'Plastic bag - wrapper', 13: 'Plastic container', 14: 'Pop tab', 15: 'Straw', 16: 'Styrofoam piece', 17: 'Unlabeled litter'}"
Underwater_Object.pt,5.95,2026-03-02 21:13:07,7,"{0: 'fish', 1: 'jellyfish', 2: 'penguin', 3: 'puffin', 4: 'shark', 5: 'starfish', 6: 'stingray'}"
Weapon.pt,113.56,2026-03-02 21:08:13,9,"{0: 'Automatic Rifle', 1: 'Bazooka', 2: 'Handgun', 3: 'Knife', 4: 'Grenade Launcher', 5: 'Shotgun', 6: 'SMG', 7: 'Sniper', 8: 'Sword'}"
Weapon_2.pt,21.46,2026-03-02 21:13:41,2,"{0: 'Person', 1: 'Weapon'}"
Welding_Defect.pt,49.63,2026-03-02 21:10:32,3,"{0: 'Bad Weld', 1: 'Good Weld', 2: 'Defect'}"
WildLife.pt,21.45,2026-03-02 21:12:33,4,"{0: 'buffalo', 1: 'elephant', 2: 'rhino', 3: 'zebra'}"
Wind_Turbine.pt,5.94,2026-03-02 21:15:59,2,"{0: 'dirt', 1: 'damage'}"
Wind_Turbines.pt,6.14,2026-03-02 21:11:32,1,{0: 'turbine'}
zhanjian.pt,148.63,2025-08-26 06:23:46,50,"{0: 'AOE', 1: 'Arleigh Burke DD', 2: 'Asagiri DD', 3: 'Atago DD', 4: 'Austin LL', 5: 'Barge', 6: 'Cargo', 7: 'Commander', 8: 'Container Ship', 9: 'Dock', 10: 'EPF', 11: 'Enterprise', 12: 'Ferry', 13: 'Fishing Vessel', 14: 'Hatsuyuki DD', 15: 'Hovercraft', 16: 'Hyuga DD', 17: 'LHA LL', 18: 'LSD 41 LL', 19: 'Masyuu AS', 20: 'Medical Ship', 21: 'Midway', 22: 'Motorboat', 23: 'Nimitz', 24: 'Oil Tanker', 25: 'Osumi LL', 26: 'Other Aircraft Carrier', 27: 'Other Auxiliary Ship', 28: 'Other Destroyer', 29: 'Other Frigate', 30: 'Other Landing', 31: 'Other Merchant', 32: 'Other Ship', 33: 'Other Warship', 34: 'Patrol', 35: 'Perry FF', 36: 'RoRo', 37: 'Sailboat', 38: 'Sanantonio AS', 39: 'Submarine', 40: 'Test Ship', 41: 'Ticonderoga', 42: 'Training Ship', 43: 'Tugboat', 44: 'Wasp LL', 45: 'Yacht', 46: 'YuDao LL', 47: 'YuDeng LL', 48: 'YuTing LL', 49: 'YuZhao LL'}"
